school ID,Full Name,State,City,Relationship Status, Student Body Total,Residential Accommodations,Faculty Advanced Degrees %, SAT Top 10% Average,SAT Top 30% Average,Religious affiliation, Total International Students,Acceptance Rate - Current,Most Recent Agreement Relationship Age,Enrollment Completion Rate
NEWMANFL,Cardinal Newman High School,FL,West Palm Beach,Poor relationship,550,Host Families through GP,71%,1936,,Catholic,6,33.33%,630,50%
CUSSD,Christian Unified Schools of San Diego,CA,El Cajon,Poor relationship,876,Host Families through GP,,,,Christian,6,,,
MARYMOUNTCA,Marymount High School,CA,Los Angeles,Poor relationship,373,Host Families through GP,80%,2242,2117,Catholic,4,50%,514,0%
GRACE,Grace Academy,MD,Hagerstown,Strong relationship,345,Off-campus boarding for boys and homestays for girls,32%,1910,1869,Christian (Non-Denomo-national),30,100%,490,9%
BCA,Broadfording Christian Academy,MD,Hagerstown,Strong relationship,390,Off-campus boarding for boys and homestays for girls,,1850,1730,Christian (Non-Denomo-national),70,100%,1313,40%
SERRA,Serra Catholic High School,PA,McKeesport,Strong relationship,352,On-Campus Dorm for Boys and Host Families through GP for Girls,70%,1930,1810,Catholic,10,100%,502,0%
SPARHAWK,Sparhawk School,MA,Amesbury,Strong relationship,170,Home-style Boarding and Host Families through GP,80%,,,None,25,77.50%,1277,73%
ALLENDALE,Allendale Columbia,NY,Rochester,Strong relationship,363,Home-style Boarding and Host Families through GP,74%,2223,2136,None,30,,,
JCS,John Carroll School,MD,Bel Air,Strong relationship,700,On Campus Boarding and Host Family through School,88%,,,Catholic,70,73.77%,864,95%
WESTSOUND,West Sound Academy,WA,Poulsbo,Strong relationship,90,On Campus Boarding and Host Family through School,76%,2063,1979,None,21,42.86%,453,83%
BELLEVIEW,Belleview Christian School,CO,Westminster,Strong relationship,277,On-Campus Boarding,35%,,,Christian (Non-Denomo-national),29,100%,1216,75%
CALVERTON,The Calverton School,MD,Huntingtown,Strong relationship,355,On-Campus Boarding,59%,1977,1818,None,30,57.45%,630,91%
THESALISBURY,The Salisbury School,MD,Salisbury,Strong relationship,359,On-Campus Boarding,58%,,,None,40,57.14%,460,100%
WENTWORTH,Wentworth Military Academy and College,MO,Lexington,Strong relationship,1000,On-Campus Boarding,31%,,,None,24,100%,865,60%
GILMOUR,Gilmour Academy,OH,Gates Mills,Strong relationship,692,On-Campus Boarding,71%,,,Catholic,31,77.78%,1266,67%
HORIZONS,Horizons School,GA,Atlanta,Strong relationship,90,On-Campus Boarding,30%,,,None,12,100%,1240,70%
STBERNARDSCA,St. Bernard's Academy,CA,Eureka,Strong relationship,271,On-Campus Boarding,50%,,,Catholic ,40,100%,150,88%
RCAMA,Redemption Christian Academy,MA,Northfield ,Strong relationship,68,On-Campus Boarding,56%,1800,1500,Christian,7,,,
AOAOH,Andrews Osborne Academy,OH,"Willoughby, OH",Strong relationship,345,On-Campus Boarding,52%,2163,2035,None,78,,,
LALUMIERE,La Lumiere School,IN,La Porte,Strong relationship,230,On-Campus Boarding,70%,,,,54,,,
BISHOPCARROLL,Bishop Carroll Catholic High School,PA,Ebensburg,Strong relationship,238,On-Campus Boarding,67%,1943,,,30,,,
AIS,The Agnes Irwin School,PA,Rosemont,Strong relationship,703,Off-Campus Boarding,78%,,,None,6,,,0%
CANEVIN,Bishop Canevin High School,PA,Pittsburgh,Strong relationship,420,Off-Campus Boarding,67%,2011,1844,Catholic,20,,,
EFCA,Erie First Christian Academy,PA,Erie,Strong relationship,216,Off-Campus Boarding,75%,2040,1954,Christian (Non-Denomo-national),51,100%,,72%
RCDS,Rockland Country Day School,NY,Congers,Strong relationship,130,Off-Campus Boarding,58%,,,None,27,65.91%,1749,111%
SMS,St. Mary's School,OR,Medford,Strong relationship,468,Off-Campus Boarding,,2224,2074,Catholic,57,85.71%,1955,72%
WAYNE,Wayne Country Day School,NC,Goldsboro,Strong relationship,265,Off-Campus Boarding,55%,2200,1970,None,15,80.95%,1622,100%
VINCENTIAN,Vincentian Academy,PA,Pittsburgh,Strong relationship,263,Off-Campus Boarding,75%,,,Catholic,21,,,
SLS,Seton-La Salle Catholic High School,PA,Pittsburgh,Strong relationship,505,Off-Campus Boarding,80%,1984,,Catholic,36,,,
BROADWATER,Broadwater Academy,VA,Exmore,Strong relationship,336,Off-Campus Boarding,45%,,,None,9,88.89%,1267,50%
BUFSEM,Buffalo Seminary,NY,Buffalo,Strong relationship,219,Off-Campus Boarding,65%,2229,2068,None,,85.29%,1035,65%
HRA,Hampton Roads Academy,VA,Newport News,Strong relationship,600,Off-Campus Boarding,55%,,,None,30,42.42%,1011,100%
AVALON,The Avalon School,MD,Gaithersburg,Strong relationship,193,Host Families through School,50%,2025,,Catholic,8,60%,1627,0%
BARSTOW,The Barstow School,MO,Kansas City,Strong relationship,714,Host Families through School,77%,2300,,None,23,88.89%,530,75%
BRUNSWICK,Brunswick Academy,VA,Lawrenceville,Strong relationship,350,Host Families through School,22%,1959,1856,None,7,100%,,80%
CENTRALCHRISTIAN,Central Christian School,OH,Kidron,Strong relationship,330,Host Families through School,50%,2160,2160,Mennonite,25,86.36%,1603,71%
CPS,Cathedral Preparatory School,PA,Erie,Strong relationship,558,Host Families through School,71%,2056,1900,Catholic,19,76.92%,,70%
HAWTHORNE,Hawthorne Valley School,NY,Ghent,Strong relationship,241,Host Families through School,100%,2035,1940,None,8,85.71%,1537,50%
HTEA,Holy Trinity Episcopal Academy,FL,Melbourne,Strong relationship,840,Host Families through School,42%,2250,2139,None (used to be Episcopalean),35,63.89%,342,92%
IHCS,Immaculate Heart Central School,NY,Watertown,Strong relationship,302,Host Families through School,45%,2032,1854,Catholic,27,71.43%,1609,0%
LAKEWORTH,Lake Worth Christian School,FL,Boynton Beach,Strong relationship,451,Host Families through School,50%,1914,1835,Christian (Non-Denomo-national),13,81.25%,241,22%
LCDS,Lancaster Country Day School,PA,Lancaster,Strong relationship,612,Host Families through School,90%,2186,2059,None,13,14.29%,,75%
MAHARISHI,Maharishi School of the Age of Enlightenment,IA,Fairfield,Strong relationship,212,Host Families through School,43%,2120,1980,None,24,0%,1686,0%
MARSHALL,Marshall School,MN,Duluth,Strong relationship,470,Host Families through School,42%,2230,2113,None,24,82.35%,531,120%
MASTERSSCHOOL,The Master's School,CT,West Simsbury,Strong relationship,315,Host Families through School,37%,1962,1800,Christian (Non-Denomo-national),20,,,
MSJ,Mount St. Joseph Academy,VT,Rutland,Strong relationship,77,Host Families through School,60%,1920,1828,Catholic,8,100%,847,25%
OAKHILL,Oak Hill School,OR,Eugene,Strong relationship,187,Host Families through School,90%,,,None,10,37.50%,634,50%
PILGRIM,The Pilgrim Academy,NJ,Egg Harbor Township,Strong relationship,346,Host Families through School,37%,1866,1660,Christian (Non-Denomo-national),14,100%,447,25%
ROCKCOUNTY,Rock County Christian School,WI,Beloit,Strong relationship,182,Host Families through School,50%,1760,1720,Christian (Non-Denomo-national),15,,,
SCHOOLONE,School One,RI,Providence,Strong relationship,90,Host Families through School,40%,,,None,7,76.92%,56,67%
SMRYKEN,St. Mary's Ryken High School,MD,Leonardtown,Strong relationship,700,Host Families through School,80%,2139,1947,Catholic (Xaverian),22,28.57%,455,60%
THETFORD,Thetford Academy,VT,Thetford,Strong relationship,299,Host Families through School,70%,2127,2011,None,5,50%,493,50%
UCA,United Christian Academy,VT,Newport,Strong relationship,88,Host Families through School,33%,2030,2010,Christian (Non-Denomo-national),7,100%,465,50%
VILLAMARIA,Villa Maria Academy,PA,Erie,Strong relationship,343,Host Families through School,61%,2034,1866,Catholic,19,88.89%,,50%
CFCHS,Chapel Field Christian School,NY,Pine Bush,Strong relationship,290,Host Families through School,50%,1795,1718,Christian (Non-Denomo-national),36,,,
CWA,Charles Wright Academy,WA,Tacoma,Strong relationship,663,Host Families through School,52%,2205,2119,None,44,70%,346,95%
MVPS,Mount Vernon Presbyterian School,GA,Atlanta,Strong relationship,932,Host Families through School,79%,2017,1900,Presbytarian,10,25%,1459,0%
PARK,The Park School,NY,Snyder,Strong relationship,256,Host Families through School,62%,2153,1994,None,20,56.67%,1461,90%
LCS,Lima Christian School,NY,Lima,Strong relationship,180,Host Families through School,47%,2220,2103,Christian (Non-Denomo-national),9,62.50%,1425,80%
CBHS,Christian Brothers High School,CA,Sacramento,Strong relationship,1044,Host Families through School,48%,1966,1866,Catholic (La Sallian),23,59.46%,325,143%
FALMOUTH,Falmouth Academy,MA,Falmouth,Strong relationship,204,Host Families through School,63%,,,None,7,40%,315,0%
JOYCS,Joy Christian School,AZ,Glendale,Strong relationship,840,Host Families through School,50%,1740,1710,Christian,38,80%,1313,58%
LANDON,Landon School,MD,Bethesda,Strong relationship,689,Host Families through School,66%,,,None,7,33.33%,1305,50%
CMFL,Chaminade-Madonna College Preparatory,FL,Hollywood,Strong relationship,550,Host Families through School,63%,,,Catholic,34,80.77%,1286,62%
NEWMAN,Newman Catholic High School,WI,Wausau,Strong relationship,272,Host Families through School,40%,,,Catholic,3,,,
SETONCCS,Seton Catholic Central School,NY,Plattsburgh,Strong relationship,131,Host Families through School,95%,1910,1740,Catholic,21,92.86%,1266,13%
KCS,King's Christian School,CA,Lemoore,Strong relationship,254,Host Families through School,38%,1860,1776,Christian (Non-Denomo-national),10,78.57%,1600,50%
PELLA,Pella Christian High School,IA,Pella,Strong relationship,282,Host Families through School,70%,2200,2066,Christian (Non-Denomo-national),8,,,
SVSM,St. Vincent-St. Mary High School,OH,Akron,Strong relationship,700,Host Families through School,62%,,1940,Catholic,,59.09%,1230,46%
LAKECATHOLIC,Lake Catholic High School,OH,Mentor,Strong relationship,876,Host Families through School,70%,2100,1690,Catholic,28,94.12%,1196,74%
FUQUA,Fuqua School,VA,Farmville,Strong relationship,410,Host Families through School,23%,2250,2138,None,10,66.67%,1039,100%
GREGORY,The Gregory School,AZ,Tucson,Strong relationship,301,Host Families through School,72%,2327,2159,None,15,40%,941,50%
CHSMN,Cathedral High School,MN,Saint Cloud,Strong relationship,634,Host Families through School,60%,,,Catholic,14,90.91%,867,60%
EMS,Eastern Mennonite High School,VA,Harrisonburg,Strong relationship,386,Host Families through School,,2137,2023,Mennonite,15,57.14%,708,0%
SVDP,St Vincent de Paul High School,CA,Petaluma,Strong relationship,315,Host Families through GP,46%,1896,1788,Catholic,26,50%,244,100%
CONCORDIALA,Concordia Jr./Sr. High of the Concordia Schools Los Angeles,CA,Sylmar,Strong relationship,215,Host Families through GP,20%,1810,1620,Lutheran,20,71.05%,,60%
CVCA,Central Valley Christian Academy,CA,Ceres,Strong relationship,200,Host Families through GP,50%,1608,,Christian (Non-Denomo-national),12,77.27%,425,86%
AMHS,Archbishop Murphy High School,WA,Everett,Strong relationship,500,Host Families through GP,70%,,,Catholic,25,69.70%,1240,113%
SCHS,Santa Clara High School,CA,Oxnard,Strong relationship,280,Host Families through GP,60%,,1850,Catholic,32,92.86%,762,73%
MONTINI,Montini Catholic High School,IL,Lombard,Strong relationship,675,Host Families through GP,71%,2140,1941,Catholic,,83.33%,1217,80%
LAKERIDGE,Lake Ridge Academy,OH,North Ridgeville,Strong relationship,400,Host Families through GP,80%,,,None,24,,,
DOANE,Doane Stuart School,NY,Rensselaer,Strong relationship,296,Host Families through GP,66%,2255,2098,Episcopal and Catholic,18,96.77%,1196,100%
MPCDS,Metairie Park Country Day School,LA,Metairie,Strong relationship,725,Host Families through GP,55%,2172,2070,None,16,63.64%,1046,40%
DONOHO,The Donoho School,AL,Anniston,Strong relationship,345,Host Families through GP,80%,,,Episcopal ,,50%,1013,50%
TRINITYRR,Trinity School at River Ridge,MN,Eagan,Strong relationship,300,Host Families through GP,,2268,2177,Christian,9,53.85%,993,0%
BRRICEIL,Brother Rice High School,IL,Chicago,Strong relationship,828,Host Families through GP,66%,2070,1890,Catholic (Irish Christian Brothers),3,77.78%,994,83%
STANSELMS,St. Anselm's Abbey School,DC,"Washington, DC",Strong relationship,248,Host Families through GP,74%,,,Catholic,6,60%,992,33%
LSCHS,La Salle College High School,PA,Wyndmoor,Strong relationship,1060,Host Families through GP,85%,2133,2014,Catholic (Lasallian),11,57.14%,993,100%
ASES,All Saints' Episcopal School,TX,Fort Worth,Strong relationship,860,Host Families through GP,88%,1992,1893,Episcopal,13,90%,978,75%
LAREINA,La Reina High School,CA,Thousand Oaks,Strong relationship,576,Host Families through GP,60%,2242,2121,Catholic,30,84.62%,986,62%
CROSSROADS,Crossroads College Preparatory School,MO,St. Louis,Strong relationship,212,Host Families through GP,67%,,,None,11,80%,979,67%
CSFM,Canterbury School,FL,Fort Myers,Strong relationship,600,Host Families through GP,51%,2354,2211,None,15,80.95%,249,78%
SEATTLELHS,Seattle Lutheran High School,WA,Seattle,Strong relationship,119,Host Families through GP,67%,2043,1818,Lutheran,23,78.26%,984,86%
ELYRIAOH,Elyria Catholic High School,OH,Elyria,Strong relationship,442,Host Families through GP,63%,2010,1890,Catholic,11,55.56%,384,67%
MPAMN,Mounds Park Academy,MN,Saint Paul,Strong relationship,487,Host Families through GP,44%,2280,2193,None,11,66.67%,942,80%
NDHSNJ,Notre Dame High School,NJ,Lawrenceville,Strong relationship,1341,Host Families through GP,47%,2050,1879,Catholic,10,69.44%,951,100%
MOONEYFL,Cardinal Mooney Catholic High School,FL,Sarasota,Strong relationship,520,Host Families through GP,55%,,,Catholic,19,87.50%,948,63%
SJPMA,St. John's Preparatory School,MA,Danvers,Strong relationship,1150,Host Families through GP,83%,2108,2017,Catholic (Xaverian Brothers),17,59.09%,389,86%
SJCDS,St. Johns Country Day School,FL,Orange Park,Strong relationship,641,Host Families through GP,63%,2156,1992,None,7,73.68%,934,60%
RAMONA,Ramona Convent Secondary School,CA,Alhambra,Strong relationship,240,Host Families through GP,100%,2094,1965,Catholic,24,85%,824,58%
SHCNY,School of the Holy Child,NY,Rye,Strong relationship,308,Host Families through GP,88%,1950,1890,Catholic,0,100%,864,100%
MORRIS,Morris Catholic High School,NJ,Denville,Strong relationship,407,Host Families through GP,46%,1912,,Catholic,35,86.67%,805,100%
PARACLETE,Paraclete High School,CA,Lancaster,Strong relationship,693,Host Families through GP,84%,1909,,Catholic,16,76.32%,629,100%
WILDWOOD,Wildwood Catholic High School,NJ,North Wildwood,Strong relationship,175,Host Families through GP,60%,1870,1570,Catholic,17,62.50%,727,50%
PVS,Palm Valley School,CA,Rancho Mirage,Strong relationship,420,Host Families through GP,45%,,,none,16,23.81%,699,80%
GORETTI,St. Maria Goretti High School,MD,Hagerstown,Strong relationship,200,Host Families through GP,52%,2203,2033,Catholic,10,82.61%,,120%
PACIFICHILLS,Pacific Hills School,CA,West Hollywood,Strong relationship,150,Host Families through GP,60%,1878,,none,15,64.29%,649,50%
NATICK,Natick High School,MA,Natick,Strong relationship,1307,Host Families through GP,100%,2159,2018,,13,,,
UXBRIDGE,Uxbridge High School,MA,Uxbridge,Strong relationship,457,Host Families through GP,73%,2020,1880,,0,,,
WALPOLE,Walpole High School,MA,Walpole,Strong relationship,1119,Host Families through GP,97%,2127,1941,,0,,,
MORGANPARK,Morgan Park Academy,IL,Chicago,Strong relationship,,Host Families through GP,,,,,,,,
FLORIDACS,Florida Christian School,FL,Miami,Strong relationship,1157,Host Families through GP,44%,1864,1732,Christian,8,100%,608,43%
WOOSTER,Wooster School,CT,Danbury,Strong relationship,380,Host Families through GP,65%,2174,2039,Episcopal,12,71.05%,607,100%
BELLJEFF,Bellarmine-Jefferson High School,CA,Burbank,Strong relationship,158,Host Families through GP,70%,1943,1710,Catholic,14,76.47%,,60%
JSERRALA,Junipero Serra High School,CA,Gardena,Strong relationship,575,Host Families through GP,85%,,,Catholic,23,75%,,67%
FENWICKMA,Bishop Fenwick High School,MA,Peabody,Strong relationship,492,Host Families through GP,87%,1963,1847,Catholic,10,60.87%,587,83%
KENNYFL,Bishop Kenny High School,FL,Jacksonville,Strong relationship,1190,Host Families through GP,41%,1897,1792,Catholic,8,70.59%,207,27%
AUSTINPREP,Austin Preparatory School,MA,Reading,Strong relationship,700,Host Families through GP,80%,,2063,Catholic,19,37.70%,567,110%
STBONCA,Saint Bonaventure High School,CA,Ventura,Strong relationship,547,Host Families through GP,65%,1946,1834,Catholic`,0,68.75%,509,87%
MAYBECK,Maybeck High School,CA,Berkeley,Strong relationship,110,Host Families through GP,,2208,2094,None,11,71.43%,556,67%
MARLBORO,Marlborough High School,MA,Marlborough,Strong relationship,1141,Host Families through GP,,1982,1809,,1,,,
MILFORD,Milford High School,MA,Milford ,Strong relationship,1114,Host Families through GP,60%,,1854,,,,,
HOLLISTON,Holliston High School,MA,Holliston,Strong relationship,827,Host Families through GP,91%,,1920,,,,,
WESTFORD,Westford Academy,MA,Westford,Strong relationship,1679,Host Families through GP,95%,,,,5,,,
NAUSET,Nauset Regional High School,MA,Eastham,Strong relationship,957,Host Families through GP,91%,2114,1792,,,,,
CAMBRIANCA,Cambrian Academy,CA,San Jose,Strong relationship,90,Host Families through GP,100%,2100,,Episcopal,50,,,
CANISIUS,Canisius High School,NY,Buffalo,Strong relationship,875,Host Families through GP,98%,2223,2079,Jesuit,5,47.06%,502,80%
SPSV,Saint Patrick-Saint Vincent High School,CA,Vallejo,Strong relationship,461,Host Families through GP,68%,2017,1825,Catholic,7,66.67%,543,110%
NORTON,Norton High School,MA,Norton,Strong relationship,725,Host Families through GP,90%,1800,,,0,,,
PJPIITN,Pope John Paul II High School,TN,Hendersonville,Strong relationship,600,Host Families through GP,70%,2200,2140,Catholic,14,62.50%,500,100%
MEDFIELD,Medfield High School,MA,Medfield,Strong relationship,898,Host Families through GP,82%,2229,2099,,1,,,
REGINAIL,Regina Dominican High School,IL,Willmette,Strong relationship,303,Host Families through GP,85%,2130,2000,Catholic,18,100%,369,80%
LEICESTER,Leicester High School,MA,Leicester,Strong relationship,441,Host Families through GP,90%,,,,,,,
LCHSPA,Lancaster Catholic High School,PA,Lancaster,Strong relationship,621,Host Families through GP,54%,2093,1854,Catholic,38,,,
BISHOPODOWD,Bishop O'Dowd High School,CA,Oakland,Strong relationship,1186,Host Families through GP,65%,,2071,,37,,,
PACIFICACS,Pacifica Christian High School,CA,Santa Monica,Strong relationship,230,Host Families through GP,80%,2088,1956,,10,,,
ROCKLAND,Rockland Senior High School,MA,Rockland,Strong relationship,,Host Families through GP,,,,,,,,
PDS,Poughkeepsie Day School,NY,Poughkeepsie,Strong relationship,280,Host Families through GP,80%,2180,2140,None,21,69.57%,,78%
